,cities_tags,purchase_places,stores,countries,countries_tags,countries_fr,code,product_name,generic_name,manufacturing_places,manufacturing_places_tags,main_category_fr,created_datetime,last_modified_datetime
10121,seclin-nord-france,"courrières,france",noz,france,france,france,3660603003234,sauce french burger (offre limitée),sauce french burger (offre limitée),france,france,epicerie,2016-08-04t13:41:26z,2017-03-25t18:37:46z
10122,seclin-nord-france,"lyon,france",carrefour,france,france,france,3660603003555,mayonnaise aux oeufs frais,mayonnaise aux oeufs frais,france,france,epicerie,2015-08-05t15:47:41z,2015-08-06t15:17:40z
10123,seclin-nord-france,"lyon,france",carrefour city,france,france,france,3660603003906,sauce cheddar bacon,sauce cheddar bacon,france,france,epicerie,2015-07-06t11:01:32z,2015-07-06t15:16:00z
10124,seclin-nord-france,"courrières,france",noz,france,france,france,3660603003937,sauce goût cheddar bacon (offre limitée),sauce goût cheddar bacon (offre limitée),france,france,epicerie,2017-03-18t12:36:36z,2017-03-25t18:35:21z
10125,seclin-nord-france,"saint-priest,france",auchan,france,france,france,3660603003944,mayonnaise légère la veloutée au fromage blanc,mayonnaise légère la veloutée au fromage blanc,france,france,epicerie,2015-08-15t17:09:54z,2015-08-16t10:30:53z
10126,seclin-nord-france,seclin-nord-france,carrefour,france,france,france,3660603003975,happy mix,happy mix,france,france,epicerie,2016-05-20t16:46:29z,2016-10-09t09:21:25z
10127,airvault-deux-sevres-france,"france,nantes",leclerc,france,france,france,3660603080228,tagliatelles saint jacques et son cocktail de fruits de mer,"plat cuisiné surgelé à base de tagliatelles, fruits de mer et sauce aux tomates",france,france,surgelés,2017-01-29t19:18:51z,2017-02-11t12:33:49z
10128,gimont-gers-france,france,carrefour,france,france,france,3660806004861,cassoulet languedoc au confit de canard ,cassoulet du languedoc au confit de canard et aux saucisses de toulouse,"comtesse du barry [filiale groupe maïsadour (holding mvvh)] - 2 rue montplaisir - 32200 gimont,gers,midi-pyrénées,france","comtesse-du-barry-filiale-groupe-maisadour-holding-mvvh-2-rue-montplaisir-32200-gimont,gers,midi-pyrenees,france",plats à base de viande,2013-01-03t20:13:59z,2015-04-18t17:03:58z
10129,gimont-gers-france,france,carrefour,france,france,france,3660806013337,le xocolati de foie gras de canard au grué de cacao et éclats de noisettes mi-cuit,produit gastronomique (préparation à base de foie gras de canard),"comtesse du barry [filiale groupe maïsadour (holding mvvh)] - 2 rue montplaisir - 32200 gimont,gers,midi-pyrénées,france","comtesse-du-barry-filiale-groupe-maisadour-holding-mvvh-2-rue-montplaisir-32200-gimont,gers,midi-pyrenees,france",poissons et viandes et oeufs,2012-04-04t16:45:08z,2015-03-29t20:17:18z
10130,saint-agathon-cotes-d-armor-france,saint-agathon-cotes-d-armor-france,carrefour,france,france,france,3660902082404,sauce rouille aux crevettes,sauce rouille aux crevettes,"bretagne,france","bretagne,france",epicerie,2014-08-03t18:25:00z,2015-09-03t13:29:26z
10131,douarnenez-finistere-france,douarnenez-finistere-france,carrefour,france,france,france,3660902212108,sardine à l'ancienne à l'huile d'olive vierge extra,sardine à l'ancienne à l'huile d'olive vierge extra,france,france,sardines en conserve,2015-06-20t15:03:36z,2015-08-02t12:35:03z
10132,douarnenez-finistere-france,douarnenez-finistere-france,carrefour,france,france,france,3660902212115,sardines à l'ancienne à l'huile d'olive vierge extra,sardines à l'ancienne à l'huile d'olive vierge extra,france,france,sardines en conserve,2015-06-20t15:14:05z,2015-08-02t12:32:51z
10133,douarnenez-finistere-france,"manosque,france",carrefour,france,france,france,3660902260109,emietté de thon blanc et confiterelles (tomates séchées),"emietté de thon blanc aux tomates séchées, cuisiné à l'huile d'olive","conserverie chancerelle - 3 rue des conserveries - zi de lannugat - 29100 douarnenez,finistère,bretagne,france","conserverie-chancerelle-3-rue-des-conserveries-zi-de-lannugat-29100-douarnenez,finistere,bretagne,france",thons,2015-04-05t16:16:27z,2015-06-11t12:01:02z
10134,douarnenez-finistere-france,"manosque,france",carrefour,france,france,france,3660902409003,thon blanc germon au naturel,thon blanc germon au naturel,"conserverie chancerelle - 3 rue des conserveries - zi de lannugat - 29100 douarnenez,finistère,bretagne,france","conserverie-chancerelle-3-rue-des-conserveries-zi-de-lannugat-29100-douarnenez,finistere,bretagne,france",thons,2015-04-05t16:14:31z,2015-06-11t11:27:18z
